2017-11-11T02:35:26.000Z,20,1788176,178236,3054,46254,1
2017-11-10T23:46:35.000Z,22,56407,734,136,10,1
2017-11-13T05:29:52.000Z,23,378352,16566,188,2803,1
2017-11-09T06:45:55.000Z,24,5541767,263919,1502,10706,1
2017-11-10T18:00:09.000Z,24,319817,1796,562,1065,1
2017-11-11T17:34:17.000Z,24,469779,2560,214,2084,1
2017-11-12T16:00:30.000Z,22,961644,62033,1132,3842,1
2017-11-12T20:00:20.000Z,28,786155,37126,895,6091,1
2017-11-11T16:00:04.000Z,24,150974,220,65,201,1
2017-11-13T03:00:01.000Z,24,70448,1538,25,315,1
2017-11-12T07:09:51.000Z,25,135620,379,86,449,1
2017-11-12T12:49:50.000Z,22,88061,47,58,17,1
2017-11-12T15:00:02.000Z,24,432721,14053,576,1161,1
2017-11-13T17:00:06.000Z,23,193241,18731,598,2627,1
2017-11-13T01:15:24.000Z,10,19859,1070,14,132,1
2017-11-11T17:12:12.000Z,25,28808,597,31,144,1
2017-11-09T17:14:11.000Z,1,2736733,58967,3492,7915,1
2017-11-13T19:07:23.000Z,28,119180,9763,512,1434,1
2017-11-11T20:39:59.000Z,17,166818,465,42,60,1
2017-11-11T16:49:31.000Z,24,415387,1010,90,655,1
2017-11-12T19:39:49.000Z,24,203332,3391,139,1034,1
2017-11-12T23:20:25.000Z,17,102766,294,39,39,1
2017-11-11T08:35:00.000Z,24,756959,9976,262,645,1
2017-11-13T00:00:56.000Z,24,70463,5992,44,402,1
2017-11-13T13:57:51.000Z,2,374640,17351,431,3595,1
2017-11-12T13:28:24.000Z,22,197183,1077,90,405,1
2017-11-07T22:20:32.000Z,2,19646,159,14,53,1
2009-02-13T06:17:12.000Z,1,264577,487,5,48,1
2017-11-12T05:01:18.000Z,23,20163,44,34,8,1
2017-11-11T02:41:22.000Z,22,320294,600,254,370,1
2017-11-11T16:16:13.000Z,26,33032,2143,333,323,1
2017-11-11T08:00:00.000Z,10,873333,22248,753,2550,1
2017-11-12T17:00:02.000Z,22,100666,3573,121,258,1
2017-11-12T11:31:55.000Z,22,78178,65,64,24,1
2017-11-09T23:00:00.000Z,17,2682879,48408,2267,2341,1
2017-11-10T05:00:01.000Z,10,2642930,115795,3055,6410,1
2017-11-11T17:21:54.000Z,22,260199,4833,302,860,1
2017-11-12T15:00:03.000Z,23,1504950,108635,1562,2913,1
2017-11-12T16:00:04.000Z,26,140099,6140,130,428,1
2017-11-12T14:00:01.000Z,20,282743,23037,338,1738,1
2017-11-13T11:22:25.000Z,15,152118,9642,129,6095,1
2017-11-13T16:10:21.000Z,25,72253,1217,146,569,1
2017-11-13T02:00:00.000Z,25,100394,1619,907,1595,1
2017-11-12T14:06:59.000Z,22,30001,221,7,101,1
2017-11-12T09:23:20.000Z,10,62915,1007,21,55,1
2017-11-11T11:00:01.000Z,24,351181,2206,453,540,1
2017-11-13T15:00:01.000Z,24,387221,2159,1214,711,1
2017-11-12T05:55:42.000Z,19,141148,1661,70,236,1
2017-11-13T11:52:00.000Z,22,164110,725,133,322,1
2017-11-12T14:57:45.000Z,22,43665,644,25,129,1
2017-11-10T23:38:50.000Z,22,399208,3023,116,590,1
2017-11-12T18:22:55.000Z,24,231745,10958,215,1433,1
2017-11-13T06:17:20.000Z,24,87890,577,48,149,1
2017-11-12T22:00:01.000Z,27,223871,8422,191,1214,1
2017-11-12T11:19:28.000Z,25,341134,18017,439,6073,1
2017-11-10T19:53:11.000Z,17,1107916,1807,269,1545,1
2017-11-13T16:30:01.000Z,24,170707,1152,178,166,1
2017-11-10T17:18:13.000Z,10,946859,37986,816,2006,1
2017-11-11T18:05:06.000Z,27,275669,13106,317,1197,1
2017-11-12T06:40:56.000Z,17,650469,17003,185,1102,1
2017-11-13T17:00:38.000Z,23,482153,76203,477,9580,1
2017-11-12T18:00:06.000Z,24,211868,5610,853,912,1
2017-11-12T00:02:41.000Z,24,496192,1503,443,1020,1
